20:18:00.450819 [queue=0] packet #1, 127.0.0.1:57532 -> 127.0.0.1:8007, sz=0 is delivered
20:19:22.948846 config: drop-rate=0.00, max-delay=0s, seed=1649722762948109400
20:19:22.957753 router is listening at :3000
20:22:35.765182 [queue=0] packet #0, 127.0.0.1:57543 -> 127.0.0.1:8007, sz=0 is delivered
20:22:35.766282 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57543, sz=0 is delivered
20:22:35.767300 [queue=0] packet #0, 127.0.0.1:57543 -> 127.0.0.1:8007, sz=0 is delivered
20:22:35.768119 [queue=0] packet #0, 127.0.0.1:57543 -> 127.0.0.1:8007, sz=67 is delivered
20:22:35.769275 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57543, sz=67 is delivered
20:22:35.776735 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57543, sz=187 is delivered
20:22:35.778729 [queue=0] packet #1, 127.0.0.1:57543 -> 127.0.0.1:8007, sz=187 is delivered
20:22:35.807725 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57543, sz=0 is delivered
20:22:35.812125 [queue=0] packet #1, 127.0.0.1:57543 -> 127.0.0.1:8007, sz=0 is delivered
20:32:35.139610 [queue=0] packet #0, 127.0.0.1:57406 -> 127.0.0.1:8007, sz=0 is delivered
20:32:35.141606 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57406, sz=0 is delivered
20:32:35.142731 [queue=0] packet #0, 127.0.0.1:57406 -> 127.0.0.1:8007, sz=0 is delivered
20:32:35.143607 [queue=0] packet #0, 127.0.0.1:57406 -> 127.0.0.1:8007, sz=67 is delivered
20:32:35.145603 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57406, sz=67 is delivered
20:32:35.155718 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57406, sz=187 is delivered
20:32:35.157713 [queue=0] packet #1, 127.0.0.1:57406 -> 127.0.0.1:8007, sz=187 is delivered
20:32:35.206963 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57406, sz=0 is delivered
20:32:35.207945 [queue=0] packet #1, 127.0.0.1:57406 -> 127.0.0.1:8007, sz=0 is delivered
21:56:30.430920 config: drop-rate=0.00, max-delay=0s, seed=1649728590429948300
21:56:30.438117 router is listening at :3000
21:57:38.289198 [queue=0] packet #0, 127.0.0.1:52578 -> 127.0.0.1:8007, sz=0 is delivered
21:57:38.291407 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52578, sz=0 is delivered
21:57:38.294568 [queue=0] packet #0, 127.0.0.1:52578 -> 127.0.0.1:8007, sz=0 is delivered
21:57:38.294836 [queue=0] packet #0, 127.0.0.1:52578 -> 127.0.0.1:8007, sz=67 is delivered
21:57:38.294836 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52578, sz=67 is delivered
21:57:38.301998 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52578, sz=187 is delivered
21:57:38.302815 [queue=0] packet #1, 127.0.0.1:52578 -> 127.0.0.1:8007, sz=187 is delivered
21:57:38.345949 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52578, sz=0 is delivered
21:57:38.351457 [queue=0] packet #1, 127.0.0.1:52578 -> 127.0.0.1:8007, sz=0 is delivered
